Id,,,Percent 18 to 24 years < HS,Percent;  18 to 24 years - HS graduate,Percent; 18 to 24 years - Some college or associate's degree,Percent; 18 to 24 years >= BA,Percent;  25+ < 9th Grade,Percent;25 years and over - High school graduate (includes equivalency),"Percent;  25 years and over - Some college, no degree",Percent 25 years and over - Associate's degree,25 years and over - Bachelor's degree,25 years and over - Graduate or professional degree, Percent high school graduate or higher,,25 to 34 years - High school graduate or higher, 25 to 34 years - Bachelor's degree or higher,35 to 44 years - High school graduate or higher,,,,45 to 64 years - High school graduate or higher, 45 to 64 years - Bachelor's degree or higher,65 years and over - High school graduate or higher,,,,White alone - Bachelor's degree or higher," White alone, not Hispanic or Latino - High school graduate or higher","Percent; Estimate; White alone, not Hispanic or Latino - Bachelor's degree or higher",Percent; Estimate; Black alone - High school graduate or higher,Black alone - Bachelor's degree or higher,Asian alone - High school graduate or higher,Asian alone - Bachelor's degree or higher,Native Hawaiian and Other Pacific Islander alone - High school graduate or higher,Native Hawaiian and Other Pacific Islander alone - Bachelor's degree or higher,Some other race alone - High school graduate or higher,Some other race alone - Bachelor's degree or higher,Hispanic or Latino Origin - High school graduate or higher, Hispanic or Latino Origin - Bachelor's degree or higher, MEDIAN EARNINGS 25 years and over with earnings,,MEDIAN EARNINGS 25 years and over with earnings - Less than high school graduate,Total; Estimate; MEDIAN EARNINGS IN THE PAST 12 MONTHS (IN 2016 INFLATION-ADJUSTED DOLLARS) - Population 25 years and over with earnings - High school graduate (includes equivalency),MEDIAN EARNINGS Some college or associate's degree,MEDIAN EARNINGS Bachelor's degree, MEDIAN EARNINGS  Graduate or professional degree
620L500US06016,,,9.9,25.2,42.4,14.6,1.9,10.8,16.9,7,36,25.2,95.9,,96.2,61.5,96.7,,,,96.2,61.5,94.3,,,,58.5,97.7,60.8,87.8,43.6,96.3,75.6,75.7,18.7,81.4,29.9,83.7,33.6,74697,,22816,40337,51152,81528,113765
620L500US06017,,,7.9,17.9,49.1,9.5,8.8,12.5,14.9,4.8,31.8,21.9,86,,94.4,71.7,90.9,,,,82.8,41.8,70.8,,,,68.4,97.7,74.4,87.4,22.6,74.8,42.9,86,20.6,69.6,21.5,72.1,28.4,54597,,20958,25685,36823,72214,95313
620L500US06018,,,14.6,27.6,45.3,8.2,11.3,18.1,20.4,6.6,21.2,13.6,79.9,,85.9,40.4,80.3,,,,78.9,31.5,73.3,,,,47.2,95.9,57.8,87.5,23.8,73.6,35.5,86.8,16.4,49.8,11.2,57.7,15.2,37126,,20571,26233,33904,52994,73335
620L500US06019,,,4.2,20.3,30.5,2.4,6.7,14.3,16.4,7.1,32.9,17.9,88.6,,96.6,66.3,92.7,,,,87.6,43.6,76.5,,,,64.8,97.4,69.4,92.1,28.8,83.2,43.3,95.2,26.4,76,21.7,79.6,28.7,51244,,22474,31764,40586,62505,84803
620L500US06020,,,11.9,27.8,52.6,13.2,7.5,23.9,20.1,7.4,22.6,12.4,86.5,,90.8,41.1,88.1,,,,86.6,32,78.9,,,,27.8,93.9,35,92.9,26.8,90.2,52.1,87.9,16.7,70.2,9.5,69.8,12.7,46482,,24435,34146,42249,64950,94157
620L500US06021,,,13.6,32.7,69.4,12.5,18.4,26.9,22.7,6.8,8.7,4,69.1,,77.6,12.3,68.6,,,,66,12.9,64.4,,,,13.9,86.4,19.5,88.1,13.8,69.8,25.7,82.8,8.8,45.6,4.4,53.6,5.7,28365,,20960,28342,31033,49779,66415
620L500US06022,,,9.8,24.2,38.5,5,5.5,15.4,18.2,7.6,28.5,20.8,90.5,,91.7,54.1,90.6,,,,92.2,47.8,86,,,,48.6,96.7,54.9,90.1,28.4,93.7,64,82.3,17.8,67.3,16.6,70.9,20,57003,,24016,32333,45728,71350,104499
620L500US06023,,,11.4,26.1,28.3,4.5,5.9,22,26.5,9.6,18.5,9.8,86.3,,88.6,27.2,86.2,,,,86.9,29.1,82.9,,,,29.7,93.4,33.8,84.9,21,80.9,38.7,78.2,6.7,72.9,11.7,75.5,15.2,36857,,20354,29601,33572,54191,71336
620L500US06024,,,10.5,23,39.7,4.4,4.9,10.2,11.6,4.9,28.6,36.1,91.3,,92.1,69.4,91.1,,,,91.4,63,90.5,,,,64.2,97.9,72.3,89,29.8,96.3,80.2,89.5,18.1,53.3,12.5,61,19.5,72196,,22412,31061,42051,83028,115277
620L500US06025,,,8.8,25.5,46.6,11,5.7,17.2,15.6,7.1,27.7,21.6,89.2,,95.3,64.3,92.6,,,,87.8,41.7,77.8,,,,40.3,94.5,44.8,91.7,31.7,90.6,62.2,85.2,25.2,72.9,8.7,74.2,14.7,56832,,24909,32711,43338,75318,103916
